accountid,year,commulative_bill,reading_jan,usage_jan,bill_jan,penalty_jan,totalbill_jan,reading_feb,usage_feb,bill_feb,penalty_feb,totalbill_feb,reading_mar,usage_mar,bill_mar,penalty_mar,totalbill_mar,reading_apr,usage_apr,bill_apr,penalty_apr,totalbill_apr,reading_may,usage_may,bill_may,penalty_may,totalbill_may,reading_jun,usage_jun,bill_jun,penalty_jun,totalbill_jun,reading_jul,usage_jul,bill_jul,penalty_jul,totalbill_jul,reading_aug,usage_aug,bill_aug,penalty_aug,totalbill_aug,reading_sept,usage_sept,bill_sept,penalty_sept,totalbill_sept,reading_oct,usage_oct,bill_oct,penalty_oct,totalbill_oct,reading_nov,usage_nov,bill_nov,penalty_nov,totalbill_nov,reading_dec,usage_dec,bill_dec,penalty_dec,totalbill_dec
0000000001-01-2021,2021,0.0,9539.0,50.0,115.0,0.0,115.0,9428.0,-111.0,0.0,0.0,0.0,9428.0,0.0,0.0,0.0,0.0,9428.0,0.0,0.0,0.0,0.0,9428.0,0.0,0.0,0.0,0.0,9428.0,0.0,0.0,0.0,0.0,9428.0,0.0,0.0,0.0,0.0,9428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000002-01-2021,2021,422.0,8234.0,104.0,277.0,0.0,277.0,8247.0,13.0,25.0,0.0,25.0,8296.0,49.0,112.0,0.0,112.0,8332.0,36.0,73.0,0.0,73.0,8349.0,17.0,25.0,0.0,25.0,8410.0,61.0,148.0,0.0,148.0,8461.0,51.0,118.0,0.0,118.0,8492.0,31.0,58.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000003-01-2021,2021,729.0,922.0,93.0,244.0,0.0,244.0,1002.0,80.0,205.0,0.0,205.0,1127.0,125.0,340.0,0.0,340.0,1190.0,63.0,154.0,0.0,154.0,1285.0,95.0,250.0,0.0,250.0,1366.0,81.0,208.0,0.0,208.0,1481.0,115.0,310.0,0.0,310.0,1563.0,82.0,211.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000004-01-2021,2021,1270.0,1578.0,85.0,220.0,0.0,220.0,1669.0,91.0,238.0,0.0,238.0,1849.0,180.0,505.0,0.0,505.0,2106.0,257.0,736.0,0.0,736.0,2374.0,268.0,769.0,0.0,769.0,2443.0,69.0,172.0,0.0,172.0,2512.0,69.0,172.0,0.0,172.0,2576.0,64.0,157.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000005-01-2021,2021,34.0,3465.0,8.0,25.0,0.0,25.0,3475.0,10.0,25.0,0.0,25.0,3498.0,23.0,34.0,0.0,34.0,3517.0,19.0,25.0,0.0,25.0,3541.0,24.0,37.0,0.0,37.0,3574.0,33.0,64.0,0.0,64.0,3604.0,30.0,55.0,0.0,55.0,3627.0,23.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000006-01-2021,2021,0.0,1498.0,0.0,0.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000007-01-2021,2021,810.0,1004.0,79.0,202.0,0.0,202.0,1065.0,61.0,148.0,0.0,148.0,1136.0,71.0,178.0,0.0,178.0,1242.0,106.0,283.0,0.0,283.0,1315.0,73.0,184.0,0.0,184.0,1410.0,95.0,250.0,0.0,250.0,1552.0,142.0,391.0,0.0,391.0,1620.0,68.0,169.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000008-01-2021,2021,422.0,230.0,40.0,85.0,0.0,85.0,263.0,33.0,64.0,0.0,64.0,299.0,36.0,73.0,0.0,73.0,343.0,44.0,97.0,0.0,97.0,378.0,35.0,70.0,0.0,70.0,421.0,43.0,94.0,0.0,94.0,467.0,46.0,103.0,0.0,103.0,498.0,31.0,58.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000009-01-2021,2021,0.0,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000000010-01-2021,2021,0.0,333.0,1.0,25.0,0.0,25.0,333.0,0.0,0.0,0.0,0.0,335.0,2.0,25.0,0.0,25.0,335.0,0.0,0.0,0.0,0.0,337.0,2.0,25.0,0.0,25.0,338.0,1.0,25.0,0.0,25.0,338.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
